时间,收盘点位,市值(元),流通市值(元),股息率市值加权
2018/1/2,4959.10340 ,63767966299603.90000 ,45232602783481.00000 ,0.01460 
2017/12/29,4898.90290 ,61485392269851.10000 ,44345681341197.00000 ,0.01510 
2017/12/28,4873.33920 ,61131198715566.20000 ,44025112751887.00000 ,0.01520 
2017/12/27,4848.96190 ,60774725505483.50000 ,43760202662777.00000 ,0.01530 
2017/12/26,4899.35900 ,61314610973634.90000 ,44163044609423.00000 ,0.01520 
2017/12/25,4878.30710 ,60908942561275.20000 ,43930398592440.00000 ,0.01530 
2017/12/22,4915.80180 ,61296501274039.10000 ,44193616111836.00000 ,0.01520 
2017/12/21,4926.17490 ,61353152090108.30000 ,44250297645191.00000 ,0.01520 
2017/12/20,4896.18550 ,61057140404213.30000 ,44010826436838.00000 ,0.01520 
2017/12/19,4922.09430 ,61288655009063.80000 ,44165993962329.00000 ,0.01520 
2017/12/18,4876.22800 ,60693596003577.80000 ,43763396423882.00000 ,0.01530 
2017/12/15,4889.44000 ,60754635977513.40000 ,43783409993269.00000 ,0.01530 
2017/12/14,4927.61220 ,61202316618177.90000 ,44136768706793.00000 ,0.01520 
2017/12/13,4939.43750 ,61361157957840.50000 ,44257497445660.00000 ,0.01510 
2017/12/12,4902.42190 ,60916909931713.20000 ,43933101925214.00000 ,0.01530 
2017/12/11,4956.47520 ,61583235121436.70000 ,44420777326330.00000 ,0.01510 
2017/12/8,4889.23220 ,60883072923673.90000 ,43861833354378.00000 ,0.01530 
2017/12/7,4845.47940 ,60442959278051.70000 ,43555431018087.00000 ,0.01540 
2017/12/6,4878.72620 ,60853997683701.10000 ,43849917669096.00000 ,0.01530 
2017/12/5,4874.01730 ,60866625653477.50000 ,43853630789760.00000 ,0.01530 
2017/12/4,4921.59420 ,61242495015170.70000 ,44103005003874.00000 ,0.01520 
2017/12/1,4929.91660 ,61387815300260.00000 ,44117992709115.00000 ,0.01510 
2017/11/30,4913.70000 ,61260597051048.90000 ,44007490795024.00000 ,0.01520 
2017/11/29,4957.89380 ,61695194226851.50000 ,44346526625953.00000 ,0.01510 
2017/11/28,4952.67750 ,61581289599590.40000 ,44278163583651.00000 ,0.01510 
2017/11/27,4912.65970 ,61225691212781.10000 ,44026845343126.00000 ,0.01520 
